Time,prey,predator
2.932932932932932957e+01,3.250360674621249668e+00,1.499927861558682451e+01
2.942942942942942963e+01,3.250349130607897319e+00,1.499930171035392590e+01
2.952952952952952970e+01,3.250337960044345831e+00,1.499932406491596737e+01
2.962962962962962976e+01,3.250327147551117069e+00,1.499934570311044091e+01
2.972972972972972983e+01,3.250316677738444682e+00,1.499936664814246967e+01
2.982982982982982989e+01,3.250306543891257505e+00,1.499938692153772024e+01
2.992992992992993351e+01,3.250296735047310204e+00,1.499940654480002600e+01
3.003003003003003357e+01,3.250287240473574979e+00,1.499942553889114016e+01
3.013013013013013364e+01,3.250278049642153277e+00,1.499944392427382489e+01
3.023023023023023370e+01,3.250269152206188839e+00,1.499946172095496699e+01
3.033033033033033377e+01,3.250260537975781183e+00,1.499947894852868302e+01
3.043043043043043383e+01,3.250252196893897327e+00,1.499949562621941190e+01
3.053053053053053389e+01,3.250244129318813791e+00,1.499951176192212721e+01
3.063063063063063396e+01,3.250236321107851989e+00,1.499952737881949361e+01
3.073073073073073402e+01,3.250228763145350808e+00,1.499954249455183763e+01
3.083083083083083409e+01,3.250221447114680196e+00,1.499955712574820410e+01
3.093093093093093415e+01,3.250214364880597451e+00,1.499957128870312317e+01
3.103103103103103422e+01,3.250207508473625051e+00,1.499958499941066670e+01
3.113113113113113428e+01,3.250200870074435144e+00,1.499959827359851516e+01
3.123123123123123435e+01,3.250194441998226935e+00,1.499961112676202823e+01
3.133133133133133441e+01,3.250188219872200079e+00,1.499962356758771520e+01
3.143143143143143448e+01,3.250182200205341321e+00,1.499963560298618148e+01
3.153153153153153454e+01,3.250176373119924023e+00,1.499964725314168135e+01
3.163163163163163460e+01,3.250170732368552251e+00,1.499965853077576661e+01
3.173173173173173467e+01,3.250165271887395679e+00,1.499966944828478788e+01
3.183183183183183473e+01,3.250159985787106187e+00,1.499968001776041859e+01
3.193193193193193480e+01,3.250154868343741121e+00,1.499969025101018438e+01
3.203203203203203486e+01,3.250149913989680339e+00,1.499970015957798353e+01
3.213213213213213493e+01,3.250145117304549025e+00,1.499970975476461987e+01
3.223223223223223499e+01,3.250140475154970510e+00,1.499971903850740063e+01
3.233233233233233506e+01,3.250135981563757603e+00,1.499972802518797899e+01
3.243243243243243512e+01,3.250131631605975180e+00,1.499973672504079403e+01
3.253253253253253519e+01,3.250127420669407741e+00,1.499974514728087627e+01
3.263263263263263525e+01,3.250123344279855608e+00,1.499975330082891922e+01
3.273273273273273531e+01,3.250119398093870515e+00,1.499976119432407806e+01
3.283283283283283538e+01,3.250115577891489416e+00,1.499976883613678247e+01
